created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 05 23:59:59 +0000 2024;1754656145678164274;"@aniesbaswedan Percayalah,sosok calon pemimpin yg terbaik sprt pak anies akan sulit di temui apabila kita melewatkan pemilu kali ini tnpa coblos 01 https://t.co/60wir7GL2V";0;0;0;0;in;1734795247308410880;1754171919178617311;sehla10753;https://twitter.com/sehla10753/status/1754656145678164274
Mon Feb 05 23:59:30 +0000 2024;1754656022415958214;"@kurawa Yaa anda yang komen ttg jalan tol sebaiknya klo kemana-mana pke jalan bawah aja pak anies";0;0;0;0;in;1744585057082470400;1753660399063625769;HMiranoor50349;https://twitter.com/HMiranoor50349/status/1754656022415958214
Mon Feb 05 23:59:28 +0000 2024;1754656015017185739;"El jk del run 84 😻";0;0;0;0;in;1602057993498918913;1754656015017185739;Saam_sjl;https://twitter.com/Saam_sjl/status/1754656015017185739
Mon Feb 05 23:59:18 +0000 2024;1754655972000477306;"@syafniir @PDI_Perjuangan Kan lagi memainkan sandiwara,,judul awal jegal anies...";0;0;0;0;in;1511460363232964612;1754397810215313857;choky_mohamad;https://twitter.com/choky_mohamad/status/1754655972000477306
Mon Feb 05 23:58:57 +0000 2024;1754655883903000842;"EL APELLIDODKIAOWOQMELAKDJAJAKA";0;0;0;0;in;1472603313690447876;1754655883903000842;folkminhocat;https://twitter.com/folkminhocat/status/1754655883903000842
Mon Feb 05 23:58:54 +0000 2024;1754655870171091011;"@AlnilamOmar Semoga Allah hijabah doa-doa kita semua, untuk menjadikan Anies Baswedan sebagai Presiden Indonesia 2024. Aamiin ya rabbal'alamin 🤲";0;0;0;0;in;1604002717646495744;1754508293106511882;Musramidal67;https://twitter.com/Musramidal67/status/1754655870171091011
Mon Feb 05 23:58:39 +0000 2024;1754655807642468600;"@Babyproms Pas juli 2021 asal join dpt DANA 10k, dpt 25k, krn lewat te el mulu eh tiba2 di oktober 2021 bigwin di jihan. Langsung deh mendalami peran sebagai hunter";0;0;0;1;in;1585454870919684096;1754296413192929402;100doIar;https://twitter.com/100doIar/status/1754655807642468600
Mon Feb 05 23:58:34 +0000 2024;1754655788646457791;"@VIVAcoid 2924 jatah om Wowo.pas bget nih...skrg biar p Anies dlu yg jd presiden...😜😜😜  #AMINPilihanRakyat https://t.co/0IT843kdG3";0;1;1;9;in;1603933412536221696;1754481267838742985;handajani23;https://twitter.com/handajani23/status/1754655788646457791
Mon Feb 05 23:58:29 +0000 2024;1754655768392142910;"@aniesbaswedan Kelass bgt pak Anies. Salah satu statement terbaik yg pernah saya dengarkan. Bismillah, amin menuju perubahan indonesia yg lebih baik☝";0;0;0;0;in;1284129716488691713;1754171919178617311;bakpaoijo_;https://twitter.com/bakpaoijo_/status/1754655768392142910
Mon Feb 05 23:58:25 +0000 2024;1754655750885122098;"@OposisiCerdas Salah satu adab seorang muslim di contohkan pak Anies https://t.co/IiQ0NbK8go";0;0;0;0;in;1362029433381527552;1754651632376377838;PWaskim;https://twitter.com/PWaskim/status/1754655750885122098
