"text","sentiment"
"prabowo: *ngoceh*  anies &amp  ganjar: https://t.co/pjyBkGdpqF","0"
"Pendukung Prabowo setelah kalah debat. https://t.co/zldE2eGsPC","-1"
"Pak Mahfud :  Kalau ngajak ngomonh ber dua itu rembukan bukan debat "" 🫣  LET HIM COOK  #DebatCapres  Paslon 1 Prabowo Nyebokin 700 T Mamat Gunshop Nyerang El Gemoy El Chudai https://t.co/Gbh2y9D4tX""","0"
"Pak Jkw lupa kalau dulu debat sama prabowo serang pribadi prabowo sesadis ini?  Come on pak jgn bikin jabatan presiden utk membela capres yg anda dukung.  Mustinya presiden netral tp anda terang2an bela prabowo. https://t.co/qASn8BtSnp","-1"
"Gais ada yg tau cara nyoret anggota keluarga dari KK? Adek gue ternyata nangisin prabowo pas debat semalem","-1"
"Dah gk asik temlen, yg maren2 pede habis mau menang satu putaran sejak semalam mewek minta dikasihani   Lain kali klu ada Pilpres si Omon @prabowo gosah diajak lagi.  Ribet orgnya","-1"
"btw beneran kasian dan ga tega loh liat Pak Prabowo semalam 😭 ditanya dan dikritik abis2an, maka dari itu saya memutuskan ga milih Pak Prabowo di Pemilu besok karena ga tega liat beliau dikritik lagi, mending menghabiskan masa tuanya menjalani hukuman atas kejahatan HAMnya 😭🫶","-1"
"Menyoal etika itu bukan serangan personal. Dalam jabatan publik, itu bagian dari integritas.  Ketika situ serang luas tanah yang dikuasai Prabowo (2019), itu juga bukan personal. Tapi bagian dari isu konflik kepentingan antara jabatan dan akses bisnis.  Makanya jangan nepotis. https://t.co/14DyV9drCw","-1"
"Bandingkan Sadis Serangan Mana antara Jokowi dan Anies ketika Debat dg Prabowo ? Bukan saja masalah pribadi tapi kepengurusan partai saja diserangnya. https://t.co/Te2fqyaTDu","0"
"Politik adalah permainan yang sangat tidak menyenangkan."" Ujar Henry Brooks Adams, sejarawan Amerika Serikat.  Ketika Prabowo ""dirujak"" pun kondisi politik tidak menguntungkan bagi 02, maka tak heran kalau Jokowi ikut cawe-cawe mengomentari bahwa debat ketiga dianggap tidak… https://t.co/P5HQc1tHEe""","-1"
"Buat apa Nangisin Prabowo . Wong dia ada Scandal beli alat Bekas   Lord Luhut Nyebokin https://t.co/ipNwQlHENG","-1"
"Prabowo nanyain rekam jejak ganjar sebagai ex gubernur Jateng = gapapa🤗🥰 Prabowo nanyain rekam jejak anies sebagai ex gubernur Jakarta = gapapa🤗🥰  Anies &amp  ganjar nanyain rekam jejak prabowo sebagai menhan = nyerang personal😡😡","-1"
"Prabowo Tidak Jawab Data yang Diminta Anies dan Ganjar, Pengamat: Itu Bukan Data Rahasia https://t.co/4W66PblGsQ #TempoBisnis","-1"
"Keren pak @jokowi  😄😄😄😅..,  Saya gak nyesel kok pilih Bapak 2 kali bahkan saat itu sampai di pecat dari kerjaan karena bos lama pendukung Prabowo kwkwkwk...   Eh gak taunya sekarang jadi tukang cebok Prabowo njenengan pak..  Justru kelakuan njenengan ini yg buat saya semakin… https://t.co/Rii4o884CX","-1"
