created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 16 09:45:18 +0000 2024;1747193297251283333;"Klo law of attraction itu bener, prabowo dah dari dulu jadi presiden";11;19;83;336;in;135888050;1747193297251283333;syarafmaulini;https://twitter.com/syarafmaulini/status/1747193297251283333
Tue Jan 16 09:28:47 +0000 2024;1747189143963332657;"Yang bener aje, rugi dong plih Pak prabowo. Buktinya aja videotron ditakedown. Yang nuduh #TerorisBomBaliDukung4nies sebaiknya ngaca dulu deh. Kasus KM 50 Rohingya Kanjuruhan Usut dulu noh Diatas. Kreativitas dibatasi Demokrasi terdegradasi #PahitManiesAlwaysWithAnies #FokusAMIN https://t.co/zxpqV5ROOr";6;13;59;245;in;2644956787;1747189143963332657;leonhart0310;https://twitter.com/leonhart0310/status/1747189143963332657
Tue Jan 16 09:27:18 +0000 2024;1747188770850697514;"Pohon Besar Ambruk di Depan Rumah Prabowo Subianto https://t.co/mz069Uj4Ra";110;156;117;509;in;17128975;1747188770850697514;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1747188770850697514
Tue Jan 16 09:12:58 +0000 2024;1747185163090678042;"Penyebab Pohon Tumbang di Depan Rumah Prabowo Bukan karena Angin atau Hujan, Lalu? https://t.co/NCxWkiVSOA";14;82;36;122;in;3319260420;1747185163090678042;geloraco;https://twitter.com/geloraco/status/1747185163090678042
Tue Jan 16 09:09:55 +0000 2024;1747184396665545153;"Sepakat, KamuKita MASbowoGBRAN dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas.  #YangJoint02ThanksYa TambahHARI TambahPakBOWO @prabowo @prabowogibran02 https://t.co/5KowUr8VXx";1;388;373;368;in;1600697951738679296;1747184396665545153;prabowoisme;https://twitter.com/prabowoisme/status/1747184396665545153
Tue Jan 16 08:50:39 +0000 2024;1747179544317169698;"Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp  tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan.  Mau bohong apa lagi wahai kalian, para  kaum Oportunis tak punya nurani. https://t.co/DwkqXVGJbg";5;4;183;460;in;1297510664148103168;1747179544317169698;GeiszChalifah;https://twitter.com/GeiszChalifah/status/1747179544317169698
Tue Jan 16 08:50:27 +0000 2024;1747179495571001465;"Katakan tidak pada Prabowo Gibran";6;23;111;393;in;1682627008017350657;1747179495571001465;Resty_J_Cayah;https://twitter.com/Resty_J_Cayah/status/1747179495571001465
Tue Jan 16 08:44:34 +0000 2024;1747178015556260119;"Elektabilitas Prabowo-Gibran Tembus 51,8%, Pilpres Berpotensi Satu Putaran https://t.co/sb6owWCMf6";44;236;55;158;in;55507370;1747178015556260119;tvOneNews;https://twitter.com/tvOneNews/status/1747178015556260119
Tue Jan 16 08:26:09 +0000 2024;1747173382112841839;"Awas Tim 02 jangan mpe lihat, rese sih, ntar ditiru2 pula kampanye AMIN ini. Uda niru videotron, tapi pake dicekal dulu punya AMIN, vangkee gak tuh?  #AniesDeservesBetter  #PahitManiesAlwaysWithAnies  Kpopers Jangan Pilih Prabowo suka Offside https://t.co/2Jc7E0TRkJ";7;8;156;319;in;303620172;1747173382112841839;Radjahoki_pro;https://twitter.com/Radjahoki_pro/status/1747173382112841839
Tue Jan 16 08:19:47 +0000 2024;1747171779695841314;"Abah Anies : "wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini😭😭"  Ngga papa meskipun Videotron nya udah ngga ada tapi inget  " MATI SATU TUMBUH SERIBU " ‼️  #DebatCapres  Apem APOLOGIZE TO ANIES Anies Deserve Better Prabowo https://t.co/l6IliFAhcz";4;14;148;639;in;1167078058269872128;1747171779695841314;Riweh_Banget;https://twitter.com/Riweh_Banget/status/1747171779695841314
