text;sentiment
Berdasarkan data, Prabowo gagal melalukan modernisasi alutsista, Prabowo gagal sbg Menhan, ini perbandingan periode I @jokowi &amp  periode II. Era Prabowo hanya terima 2 jenis barang usang: 1. Bushmater (hibah dr Australia) 2. Beli pesawat jet bekas Falcon 7x &amp  8x unt VIP &amp  elit https://t.co/qJvBGyBTbu;-1
Jika ada politisi yg sudah tahunan mencaci maki Prabowo tapi dalam hitungan cepat tiba-tiba memuja-muji dengan alasan tegak lurus kepada Jokowi, saya kira dalih saja. Sekedar alasan utk menutupi kasta politiknya yg sangat rendah.  Mereka para politisi yg sudah tak berdaya tapi… https://t.co/gdJRMcEvKj;1
Kecewa Prabowo, GMI Beralih Dukung AMIN https://t.co/olrxuUch0Z;-1
ini contoh gen-Z bodoh akibat kurang baca. kalau Megawati jual nama bapaknya, percuma. karena nama Bapaknya dia ga bisa kuliah dan kena represi Suharto. kalau hari ini Prabowo bisa nyapres, Jokowi bisa jadi presiden walaupun ga ada andilnya pada reformasi, karena Megawati ikhlas https://t.co/6zYjVmWyls;0
Sekali lagi kita kalahkan Prabowo yang kali ini berpasangan dengan anak presiden pelanggar etika putusan MK.   Dan janji yang tidak bisa dituntaskan Jokowi soal kasus HAM karena punya utang jasa ke Prabowo biar dituntaskan Ganjar Mahfud..   Kekalahan Prabowo Gibran adalah… https://t.co/T76RhobOfp;-1
indonesia butuh pemimpin yg paham soal pertahanan, keamanan dan geopolitik untuk melindungi rakyat dr serangan asing. menurutku prabowo-gibran inilah sosok #PemimpinYangDinanti indonesia https://t.co/1D2GONHA8o;1
Karakter memang tak bisa diubah. Jika terbiasa menghina, maka hari2nya sibuk menghina  Berbagai kelompok masyarakat pernah DIHINA prabowo, salah satunya profesi sopir ojek online  Semoga Indonesia dijauhkan dari pemimpin2 yang suka merendahkan rakyatnya https://t.co/g5bcEWxMjQ;-1
Nazar Pemilu 🚨 Kalau Prabowo-Gibran kalah dan AMIN menang satu putaran 🚩 #nazarpemilu   Saya hadiahkan 10 pasang sepatu outdoor/sepatu gunung ini kepada 10 pemenang GA ini. Fyi: Branded Italy, Amerika, Prancis, dan Korea. #nazarpemilu https://t.co/8MRoVrKvpw;-1
@BosPurwa @BungaLiar15 oke ikutan, bismillah. kalau Anies-Muhaimin menang atau Prabowo-Gibran kalah, saya akan bagiin 100 nasi bungkus di lingkungan sekitar jalan Gunung Bawakaraeng. #nazarpemilu https://t.co/a3oXCY3EB9;-1
Sambil menunggu debat capres nanti malam, yuk kita siap-siap menantikan penampilan sosok Prabowo yang dinanti. Debat ini waktunya Prabowo bersinar. ✌️  #PemimpinYangDinanti https://t.co/XhhokWcZ0G;1
