,text,cleaned,casefolding,stopword,normalisasi,stemming,tokenisasi
0,"Klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","Klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","klo law of attraction itu bener, prabowo dah dari dulu jadi presiden","klo law of attraction bener, prabowo dah dulu jadi presiden","kalau hukum of attraction benar , prabowo udah dulu jadi presiden",kalau hukum of attraction benar prabowo udah dulu jadi presiden,"['kalau', 'hukum', 'of', 'attraction', 'benar', 'prabowo', 'udah', 'dulu', 'jadi', 'presiden']"
1,"Yang bener aje, rugi dong plih Pak prabowo. Buktinya aja videotron ditakedown. Yang nuduh #TerorisBomBaliDukung4nies sebaiknya ngaca dulu deh. Kasus KM 50 Rohingya Kanjuruhan Usut dulu noh Diatas. Kreativitas dibatasi Demokrasi terdegradasi #PahitManiesAlwaysWithAnies #FokusAMIN https://t.co/zxpqV5ROOr","Yang bener aje, rugi dong plih Pak prabowo. Buktinya aja videotron ditakedown. Yang nuduh sebaiknya ngaca dulu deh. Kasus KM Rohingya Kanjuruhan Usut dulu noh Diatas. Kreativitas dibatasi Demokrasi terdegradasi","yang bener aje, rugi dong plih pak prabowo. buktinya aja videotron ditakedown. yang nuduh sebaiknya ngaca dulu deh. kasus km rohingya kanjuruhan usut dulu noh diatas. kreativitas dibatasi demokrasi terdegradasi","bener aje, rugi dong plih pak prabowo. buktinya aja videotron ditakedown. nuduh sebaiknya ngaca dulu deh. kasus km rohingya kanjuruhan usut dulu noh diatas. kreativitas dibatasi demokrasi terdegradasi","benar saja , rugi dong plih pak prabowo . buktinya saja videotron ditakedown . menuduh sebaiknya mengaca dulu deh . kasus kamu rohingya kanjuruhan usut dulu itu di atas . kreativitas dibatasi demokrasi terdegradasi",benar saja rugi dong plih pak prabowo bukti saja videotron ditakedown tuduh baik kaca dulu deh kasus kamu rohingya kanjuruhan usut dulu itu di atas kreativitas batas demokrasi degradasi,"['benar', 'saja', 'rugi', 'dong', 'plih', 'pak', 'prabowo', 'bukti', 'saja', 'videotron', 'ditakedown', 'tuduh', 'baik', 'kaca', 'dulu', 'deh', 'kasus', 'kamu', 'rohingya', 'kanjuruhan', 'usut', 'dulu', 'itu', 'di', 'atas', 'kreativitas', 'batas', 'demokrasi', 'degradasi']"
2,Pohon Besar Ambruk di Depan Rumah Prabowo Subianto https://t.co/mz069Uj4Ra,Pohon Besar Ambruk di Depan Rumah Prabowo Subianto,pohon besar ambruk di depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,pohon besar ambruk depan rumah prabowo subianto,"['pohon', 'besar', 'ambruk', 'depan', 'rumah', 'prabowo', 'subianto']"
3,"Penyebab Pohon Tumbang di Depan Rumah Prabowo Bukan karena Angin atau Hujan, Lalu? https://t.co/NCxWkiVSOA","Penyebab Pohon Tumbang di Depan Rumah Prabowo Bukan karena Angin atau Hujan, Lalu?","penyebab pohon tumbang di depan rumah prabowo bukan karena angin atau hujan, lalu?","penyebab pohon tumbang depan rumah prabowo bukan angin hujan, lalu?","penyebab pohon tumbang depan rumah prabowo bukan angin hujan , lalu ?",sebab pohon tumbang depan rumah prabowo bukan angin hujan lalu,"['sebab', 'pohon', 'tumbang', 'depan', 'rumah', 'prabowo', 'bukan', 'angin', 'hujan', 'lalu']"
4,"Sepakat, KamuKita MASbowoGBRAN dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas.  #YangJoint02ThanksYa TambahHARI TambahPakBOWO @prabowo @prabowogibran02 https://t.co/5KowUr8VXx","Sepakat, KamuKita MASbowoGBRAN dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas. TambahHARI TambahPakBOWO","sepakat, kamukita masbowogbran dipercaya mumpuni utk selesaikan masalah yang dihadapi bangsa, dengan menemukan solusi yang pas. tambahhari tambahpakbowo","sepakat, kamukita masbowogbran dipercaya mumpuni utk selesaikan masalah dihadapi bangsa, menemukan solusi pas. tambahhari tambahpakbowo","sepakat , kamukita masbowogbran dipercaya mumpuni untuk selesaikan masalah dihadapi bangsa , menemukan solusi pas . tambahhari tambahpakbowo",sepakat kamukita masbowogbran percaya mumpuni untuk selesai masalah hadap bangsa temu solusi pas tambahhari tambahpakbowo,"['sepakat', 'kamukita', 'masbowogbran', 'percaya', 'mumpuni', 'untuk', 'selesai', 'masalah', 'hadap', 'bangsa', 'temu', 'solusi', 'pas', 'tambahhari', 'tambahpakbowo']"
5,"Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp  tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan.  Mau bohong apa lagi wahai kalian, para  kaum Oportunis tak punya nurani. https://t.co/DwkqXVGJbg","Didin Wahfiudin Ayah Harun Al Rasyid. Jelas &amp tegas mengatakan: Saya Pendukung Pak Prabowo yang diabaikan. Mau bohong apa lagi wahai kalian, para kaum Oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid. jelas &amp tegas mengatakan: saya pendukung pak prabowo yang diabaikan. mau bohong apa lagi wahai kalian, para kaum oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid. jelas &amp tegas mengatakan: pendukung pak prabowo diabaikan. mau bohong apa wahai kalian, kaum oportunis tak punya nurani.","didin wahfiudin ayah harun al rasyid . jelas & amp tegas mengatakan : pendukung pak prabowo diabaikan . mau bohong apa wahai kalian , kaum oportunis tidak punya nurani .",din wahfiudin ayah harun al rasyid jelas amp tegas kata dukung pak prabowo abai mau bohong apa wahai kalian kaum oportunis tidak punya nurani,"['din', 'wahfiudin', 'ayah', 'harun', 'al', 'rasyid', 'jelas', 'amp', 'tegas', 'kata', 'dukung', 'pak', 'prabowo', 'abai', 'mau', 'bohong', 'apa', 'wahai', 'kalian', 'kaum', 'oportunis', 'tidak', 'punya', 'nurani']"
6,Katakan tidak pada Prabowo Gibran,Katakan tidak pada Prabowo Gibran,katakan tidak pada prabowo gibran,katakan pada prabowo gibran,katakan pada prabowo gibran,kata pada prabowo gibran,"['kata', 'pada', 'prabowo', 'gibran']"
7,"Elektabilitas Prabowo-Gibran Tembus 51,8%, Pilpres Berpotensi Satu Putaran https://t.co/sb6owWCMf6","Elektabilitas Prabowo-Gibran Tembus %, Pilpres Berpotensi Satu Putaran","elektabilitas prabowo-gibran tembus %, pilpres berpotensi satu putaran","elektabilitas prabowo-gibran tembus %, pilpres berpotensi satu putaran","elektabilitas prabowo-gibran tembus % , pemilihan presiden berpotensi satu putaran",elektabilitas prabowo-gibran tembus pilih presiden potensi satu putar,"['elektabilitas', 'prabowo-gibran', 'tembus', 'pilih', 'presiden', 'potensi', 'satu', 'putar']"
8,"Awas Tim 02 jangan mpe lihat, rese sih, ntar ditiru2 pula kampanye AMIN ini. Uda niru videotron, tapi pake dicekal dulu punya AMIN, vangkee gak tuh?  #AniesDeservesBetter  #PahitManiesAlwaysWithAnies  Kpopers Jangan Pilih Prabowo suka Offside https://t.co/2Jc7E0TRkJ","Awas Tim jangan mpe lihat, rese sih, ntar ditiru pula kampanye AMIN ini. Uda niru videotron, tapi pake dicekal dulu punya AMIN, vangkee gak tuh? Kpopers Jangan Pilih Prabowo suka Offside","awas tim jangan mpe lihat, rese sih, ntar ditiru pula kampanye amin ini. uda niru videotron, tapi pake dicekal dulu punya amin, vangkee gak tuh? kpopers jangan pilih prabowo suka offside","awas tim jangan mpe lihat, rese sih, ntar ditiru kampanye amin ini. uda niru videotron, pake dicekal dulu punya amin, vangkee gak tuh? kpopers jangan pilih prabowo suka offside","awas tim jangan sampai lihat , resek sih , nanti ditiru kampanye amin ini . sudah meniru videotron , pakai dicekal dulu punya amin , vangkee tidak itu ? kpopers jangan pilih prabowo suka offside",awas tim jangan sampai lihat resek sih nanti tiru kampanye amin ini sudah tiru videotron pakai cekal dulu punya amin vangkee tidak itu kpopers jangan pilih prabowo suka offside,"['awas', 'tim', 'jangan', 'sampai', 'lihat', 'resek', 'sih', 'nanti', 'tiru', 'kampanye', 'amin', 'ini', 'sudah', 'tiru', 'videotron', 'pakai', 'cekal', 'dulu', 'punya', 'amin', 'vangkee', 'tidak', 'itu', 'kpopers', 'jangan', 'pilih', 'prabowo', 'suka', 'offside']"
9,"Abah Anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini😭😭""  Ngga papa meskipun Videotron nya udah ngga ada tapi inget  "" MATI SATU TUMBUH SERIBU "" ‼️  #DebatCapres  Apem APOLOGIZE TO ANIES Anies Deserve Better Prabowo https://t.co/l6IliFAhcz""","Abah Anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" Ngga papa meskipun Videotron nya udah ngga ada tapi inget "" MATI SATU TUMBUH SERIBU "" Apem APOLOGIZE TO ANIES Anies Deserve Better Prabowo ""","abah anies : wow terimakasih saya tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" ngga papa meskipun videotron nya udah ngga ada tapi inget "" mati satu tumbuh seribu "" apem apologize to anies anies deserve better prabowo ""","abah anies : wow terimakasih tidak pernah membayangkan wahh inilah kerja semesta ,omaygot inikan mahal ini"" ngga papa meskipun videotron nya udah ngga tapi inget "" mati satu tumbuh seribu "" apem apologize to anies anies deserve better prabowo ""","ayah anies : wah terima kasih tidak pernah membayangkan wah inilah kerja semesta , omaygot inikan mahal ini "" tidak papa meskipun videotron nya sudah tidak tetapi ingat "" mati satu tumbuh seribu "" apem apologize untuk anies anies deserve lebih baik prabowo """,ayah anies wah terima kasih tidak pernah bayang wah ini kerja semesta omaygot ini mahal ini tidak papa meski videotron nya sudah tidak tetapi ingat mati satu tumbuh ribu apem apologize untuk anies anies deserve lebih baik prabowo,"['ayah', 'anies', 'wah', 'terima', 'kasih', 'tidak', 'pernah', 'bayang', 'wah', 'ini', 'kerja', 'semesta', 'omaygot', 'ini', 'mahal', 'ini', 'tidak', 'papa', 'meski', 'videotron', 'nya', 'sudah', 'tidak', 'tetapi', 'ingat', 'mati', 'satu', 'tumbuh', 'ribu', 'apem', 'apologize', 'untuk', 'anies', 'anies', 'deserve', 'lebih', 'baik', 'prabowo']"
