"text","sentiment"
"Solo bukan samsul, Solo full Sahabat Ganjar untuk Ganjar Mahfud 2024 🤟 https://t.co/45TzOng6Jf","1"
"Ribuan warga mengikuti Sholawat Kebangsaan bersama Gus Ali Gondrong di Alun Alun Utara - Solo, 04 Januari 2024  Rongewu patlikur Ganjar Mahfud MD  Duaribu duaempat Ganjar Mahfud MD    #GanjarMahfud2024 🤟 https://t.co/rphinfeOxu","1"
"Alun Alun Utara - Solo malam ini   Sholawat Kebangsaan Ganjar Mahfud  #GanjarMahfud2024 https://t.co/RDzdMhOBFb","1"
"Dari soal pemberantasan korupsi Internet gratis SMKN gratis Satu keluarga satu sarjana   Makin banyaknya Gen Z memberi dukungan jadi bukti Ganjar Mahfud harapan Gen Z.  Ribuan Gen Z di TikTok Beri Semangat Mahfud MD Berantas Korupsi. https://t.co/oYLtZWf9f1","1"
"Banyak yg bilang Prabowo itu dari dulu hingga sekarang orangnya emosional.  Itu jelas salah, yg benar itu Prabowo bukan hanya emosional tp juga pendendam.  Maaf aja ya, masih ada yg seperti Ganjar Mahfud, hny orang ga waras yg pilih seperti ini.  Melawan lupa #AsalBukanPrabowo https://t.co/XPUQdJNBzC","1"
"Btw anyway busway, kok rame bgt ya orang minta anies gini gitu  Kok ga pernah denger minta prabowo gini gitu, ato minta ganjar gini gitu  Katanya survey paling buncit tapi dimintain ini itu ini konsepnya gimana  Harusnya minta ke yang kemungkinan menang""nya paling banyak""","0"
"Situasi genting !? Semua anak Bung Hatta kini turun gunung dukung Ganjar-Mahfud !? https://t.co/kkV5fwbXZ6","1"
"Bu Atikoh ini tetap cantik ya ? Padahal usianya udah 52 tahun.  Hebat nyarinya pak Ganjar.. 😄😄 https://t.co/1idYO140k7","0"
"Tembang manis dari NTT Untuk Ganjar https://t.co/gDkAWUZbU3","1"
"Selamat pagi Wanita² Hebat Indonesia 🌷 Ibu Atiqoh Ganjar Pranowo menyapa.  Kita rindu seorang Ibu Negara yang totalitas berjuang untuk Bangsa, bukan berjuang untuk Hilirisasi Kekuasaan Keluarga.  Yang terbaik untuk Bangsa ini adalah #GanjarMahfud2024   Yang sepakat pasti Repost. https://t.co/bx1sUAvXRv","1"
"Ganjar - Mahfud semakin Membara di seluruh pelosok Nusantara🇮🇩  Salam Metal 🤟🤟🤟  Menang total🙏 https://t.co/p8bvTfxkoC","1"
"Relawan Ganjar Dicekoki Miras hingga Dikasih Amplop sebelum Bentrok dengan Belasan TNI di Boyolali, Ini Bukti-buktinya  https://t.co/RnxJ8jrcrX","0"
